municipio_codigo;municipio_nombre;sexo;nacionalidad_de_la_madre;numero_nacimientos
093; Navacerrada;Mujer;América del Norte;0
093; Navacerrada;Mujer;América del Sur;0
093; Navacerrada;Mujer;Apátridas;0
093; Navacerrada;Mujer;Asia;0
093; Navacerrada;Mujer;No consta;0
093; Navacerrada;Mujer;Oceanía;0
093; Navacerrada;Mujer;Otros países de América;0
093; Navacerrada;Mujer;Otros países de Europa;0
093; Navacerrada;Mujer;Unión Europea;3
094; Navalafuente;Hombre;África;0
094; Navalafuente;Hombre;América Central y del Caribe;0
094; Navalafuente;Hombre;América del Norte;0
094; Navalafuente;Hombre;América del Sur;1
094; Navalafuente;Hombre;Apátridas;0
094; Navalafuente;Hombre;Asia;0
094; Navalafuente;Hombre;No consta;0
094; Navalafuente;Hombre;Oceanía;0
094; Navalafuente;Hombre;Otros países de América;0
094; Navalafuente;Hombre;Otros países de Europa;1
094; Navalafuente;Hombre;Unión Europea;8
094; Navalafuente;Mujer;África;1
094; Navalafuente;Mujer;América Central y del Caribe;0
094; Navalafuente;Mujer;América del Norte;0
094; Navalafuente;Mujer;América del Sur;0
094; Navalafuente;Mujer;Apátridas;0
094; Navalafuente;Mujer;Asia;0
094; Navalafuente;Mujer;No consta;0
094; Navalafuente;Mujer;Oceanía;0
094; Navalafuente;Mujer;Otros países de América;0
094; Navalafuente;Mujer;Otros países de Europa;1
094; Navalafuente;Mujer;Unión Europea;7
095; Navalagamella;Hombre;África;5
095; Navalagamella;Hombre;América Central y del Caribe;0
095; Navalagamella;Hombre;América del Norte;0
095; Navalagamella;Hombre;América del Sur;1
095; Navalagamella;Hombre;Apátridas;0
095; Navalagamella;Hombre;Asia;1
095; Navalagamella;Hombre;No consta;0
095; Navalagamella;Hombre;Oceanía;0
095; Navalagamella;Hombre;Otros países de América;0
095; Navalagamella;Hombre;Otros países de Europa;0
095; Navalagamella;Hombre;Unión Europea;12
095; Navalagamella;Mujer;África;3
095; Navalagamella;Mujer;América Central y del Caribe;0
095; Navalagamella;Mujer;América del Norte;0
095; Navalagamella;Mujer;América del Sur;2
095; Navalagamella;Mujer;Apátridas;0
095; Navalagamella;Mujer;Asia;0
095; Navalagamella;Mujer;No consta;0
095; Navalagamella;Mujer;Oceanía;0
095; Navalagamella;Mujer;Otros países de América;0
095; Navalagamella;Mujer;Otros países de Europa;0
095; Navalagamella;Mujer;Unión Europea;9
096; Navalcarnero;Hombre;África;17
096; Navalcarnero;Hombre;América Central y del Caribe;0
096; Navalcarnero;Hombre;América del Norte;0
096; Navalcarnero;Hombre;América del Sur;6
096; Navalcarnero;Hombre;Apátridas;0
096; Navalcarnero;Hombre;Asia;2
096; Navalcarnero;Hombre;No consta;0
096; Navalcarnero;Hombre;Oceanía;0
096; Navalcarnero;Hombre;Otros países de América;0
096; Navalcarnero;Hombre;Otros países de Europa;0
096; Navalcarnero;Hombre;Unión Europea;153
096; Navalcarnero;Mujer;África;17
096; Navalcarnero;Mujer;América Central y del Caribe;1
096; Navalcarnero;Mujer;América del Norte;0
096; Navalcarnero;Mujer;América del Sur;3
096; Navalcarnero;Mujer;Apátridas;0
096; Navalcarnero;Mujer;Asia;0
096; Navalcarnero;Mujer;No consta;0
096; Navalcarnero;Mujer;Oceanía;0
096; Navalcarnero;Mujer;Otros países de América;0
096; Navalcarnero;Mujer;Otros países de Europa;2
096; Navalcarnero;Mujer;Unión Europea;166
097; Navarredonda y San Mamés;Hombre;África;0
097; Navarredonda y San Mamés;Hombre;América Central y del Caribe;0
097; Navarredonda y San Mamés;Hombre;América del Norte;0
097; Navarredonda y San Mamés;Hombre;América del Sur;0
097; Navarredonda y San Mamés;Hombre;Apátridas;0
097; Navarredonda y San Mamés;Hombre;Asia;0
097; Navarredonda y San Mamés;Hombre;No consta;0
097; Navarredonda y San Mamés;Hombre;Oceanía;0
097; Navarredonda y San Mamés;Hombre;Otros países de América;0
097; Navarredonda y San Mamés;Hombre;Otros países de Europa;0
097; Navarredonda y San Mamés;Hombre;Unión Europea;0
097; Navarredonda y San Mamés;Mujer;África;0
097; Navarredonda y San Mamés;Mujer;América Central y del Caribe;0
097; Navarredonda y San Mamés;Mujer;América del Norte;0
097; Navarredonda y San Mamés;Mujer;América del Sur;0
097; Navarredonda y San Mamés;Mujer;Apátridas;0
097; Navarredonda y San Mamés;Mujer;Asia;0
097; Navarredonda y San Mamés;Mujer;No consta;0
097; Navarredonda y San Mamés;Mujer;Oceanía;0
097; Navarredonda y San Mamés;Mujer;Otros países de América;0
097; Navarredonda y San Mamés;Mujer;Otros países de Europa;0
097; Navarredonda y San Mamés;Mujer;Unión Europea;1
099; Navas del Rey;Hombre;África;3
099; Navas del Rey;Hombre;América Central y del Caribe;0
099; Navas del Rey;Hombre;América del Norte;0
099; Navas del Rey;Hombre;América del Sur;0
099; Navas del Rey;Hombre;Apátridas;0
099; Navas del Rey;Hombre;Asia;0
099; Navas del Rey;Hombre;No consta;0
099; Navas del Rey;Hombre;Oceanía;0
099; Navas del Rey;Hombre;Otros países de América;0
099; Navas del Rey;Hombre;Otros países de Europa;0
099; Navas del Rey;Hombre;Unión Europea;11
099; Navas del Rey;Mujer;África;5
099; Navas del Rey;Mujer;América Central y del Caribe;0
099; Navas del Rey;Mujer;América del Norte;0
099; Navas del Rey;Mujer;América del Sur;0
099; Navas del Rey;Mujer;Apátridas;0
099; Navas del Rey;Mujer;Asia;0
099; Navas del Rey;Mujer;No consta;0
099; Navas del Rey;Mujer;Oceanía;0
099; Navas del Rey;Mujer;Otros países de América;0
099; Navas del Rey;Mujer;Otros países de Europa;0
099; Navas del Rey;Mujer;Unión Europea;11
100; Nuevo Baztán;Hombre;África;0
100; Nuevo Baztán;Hombre;América Central y del Caribe;0
100; Nuevo Baztán;Hombre;América del Norte;0
100; Nuevo Baztán;Hombre;América del Sur;2
100; Nuevo Baztán;Hombre;Apátridas;0
100; Nuevo Baztán;Hombre;Asia;0
100; Nuevo Baztán;Hombre;No consta;0
100; Nuevo Baztán;Hombre;Oceanía;0
100; Nuevo Baztán;Hombre;Otros países de América;0
100; Nuevo Baztán;Hombre;Otros países de Europa;0
100; Nuevo Baztán;Hombre;Unión Europea;22
100; Nuevo Baztán;Mujer;África;0
100; Nuevo Baztán;Mujer;América Central y del Caribe;0
100; Nuevo Baztán;Mujer;América del Norte;0
100; Nuevo Baztán;Mujer;América del Sur;0
100; Nuevo Baztán;Mujer;Apátridas;0
100; Nuevo Baztán;Mujer;Asia;0
100; Nuevo Baztán;Mujer;No consta;0
100; Nuevo Baztán;Mujer;Oceanía;0
100; Nuevo Baztán;Mujer;Otros países de América;0
100; Nuevo Baztán;Mujer;Otros países de Europa;0
100; Nuevo Baztán;Mujer;Unión Europea;19
101; Olmeda de las Fuentes;Hombre;África;0
101; Olmeda de las Fuentes;Hombre;América Central y del Caribe;0
101; Olmeda de las Fuentes;Hombre;América del Norte;0
101; Olmeda de las Fuentes;Hombre;América del Sur;0
101; Olmeda de las Fuentes;Hombre;Apátridas;0
101; Olmeda de las Fuentes;Hombre;Asia;0
101; Olmeda de las Fuentes;Hombre;No consta;0
101; Olmeda de las Fuentes;Hombre;Oceanía;0
101; Olmeda de las Fuentes;Hombre;Otros países de América;0
101; Olmeda de las Fuentes;Hombre;Otros países de Europa;0
101; Olmeda de las Fuentes;Hombre;Unión Europea;4
101; Olmeda de las Fuentes;Mujer;África;0
101; Olmeda de las Fuentes;Mujer;América Central y del Caribe;0
101; Olmeda de las Fuentes;Mujer;América del Norte;0
101; Olmeda de las Fuentes;Mujer;América del Sur;0
101; Olmeda de las Fuentes;Mujer;Apátridas;0
101; Olmeda de las Fuentes;Mujer;Asia;0
101; Olmeda de las Fuentes;Mujer;No consta;0
101; Olmeda de las Fuentes;Mujer;Oceanía;0
101; Olmeda de las Fuentes;Mujer;Otros países de América;0
101; Olmeda de las Fuentes;Mujer;Otros países de Europa;0
101; Olmeda de las Fuentes;Mujer;Unión Europea;1
102; Orusco de Tajuña;Hombre;África;0
102; Orusco de Tajuña;Hombre;América Central y del Caribe;1
102; Orusco de Tajuña;Hombre;América del Norte;0
102; Orusco de Tajuña;Hombre;América del Sur;1
102; Orusco de Tajuña;Hombre;Apátridas;0
102; Orusco de Tajuña;Hombre;Asia;0
102; Orusco de Tajuña;Hombre;No consta;0
102; Orusco de Tajuña;Hombre;Oceanía;0
102; Orusco de Tajuña;Hombre;Otros países de América;0
102; Orusco de Tajuña;Hombre;Otros países de Europa;0
102; Orusco de Tajuña;Hombre;Unión Europea;5
102; Orusco de Tajuña;Mujer;África;0
102; Orusco de Tajuña;Mujer;América Central y del Caribe;0
102; Orusco de Tajuña;Mujer;América del Norte;0
102; Orusco de Tajuña;Mujer;América del Sur;0
102; Orusco de Tajuña;Mujer;Apátridas;0
102; Orusco de Tajuña;Mujer;Asia;0
102; Orusco de Tajuña;Mujer;No consta;0
102; Orusco de Tajuña;Mujer;Oceanía;0
102; Orusco de Tajuña;Mujer;Otros países de América;0
102; Orusco de Tajuña;Mujer;Otros países de Europa;0
102; Orusco de Tajuña;Mujer;Unión Europea;5
104; Paracuellos de Jarama;Hombre;África;1
104; Paracuellos de Jarama;Hombre;América Central y del Caribe;1
104; Paracuellos de Jarama;Hombre;América del Norte;1
104; Paracuellos de Jarama;Hombre;América del Sur;5
104; Paracuellos de Jarama;Hombre;Apátridas;0
104; Paracuellos de Jarama;Hombre;Asia;0
104; Paracuellos de Jarama;Hombre;No consta;0
104; Paracuellos de Jarama;Hombre;Oceanía;0
104; Paracuellos de Jarama;Hombre;Otros países de América;0
104; Paracuellos de Jarama;Hombre;Otros países de Europa;0
104; Paracuellos de Jarama;Hombre;Unión Europea;149
104; Paracuellos de Jarama;Mujer;África;0
104; Paracuellos de Jarama;Mujer;América Central y del Caribe;1
104; Paracuellos de Jarama;Mujer;América del Norte;0
104; Paracuellos de Jarama;Mujer;América del Sur;7
104; Paracuellos de Jarama;Mujer;Apátridas;0
104; Paracuellos de Jarama;Mujer;Asia;1
104; Paracuellos de Jarama;Mujer;No consta;0
104; Paracuellos de Jarama;Mujer;Oceanía;0
104; Paracuellos de Jarama;Mujer;Otros países de América;0
104; Paracuellos de Jarama;Mujer;Otros países de Europa;1
104; Paracuellos de Jarama;Mujer;Unión Europea;160
106; Parla;Hombre;África;126
106; Parla;Hombre;América Central y del Caribe;12
106; Parla;Hombre;América del Norte;2
106; Parla;Hombre;América del Sur;53
106; Parla;Hombre;Apátridas;0
106; Parla;Hombre;Asia;46
106; Parla;Hombre;No consta;0
106; Parla;Hombre;Oceanía;0
106; Parla;Hombre;Otros países de América;0
106; Parla;Hombre;Otros países de Europa;8
106; Parla;Hombre;Unión Europea;580
106; Parla;Mujer;África;103
106; Parla;Mujer;América Central y del Caribe;10
106; Parla;Mujer;América del Norte;2
106; Parla;Mujer;América del Sur;41
106; Parla;Mujer;Apátridas;0
106; Parla;Mujer;Asia;40
106; Parla;Mujer;No consta;0
106; Parla;Mujer;Oceanía;0
106; Parla;Mujer;Otros países de América;0
106; Parla;Mujer;Otros países de Europa;8
106; Parla;Mujer;Unión Europea;584
107; Patones;Hombre;África;0
107; Patones;Hombre;América Central y del Caribe;0
107; Patones;Hombre;América del Norte;0
107; Patones;Hombre;América del Sur;0
107; Patones;Hombre;Apátridas;0
107; Patones;Hombre;Asia;0
107; Patones;Hombre;No consta;0
107; Patones;Hombre;Oceanía;0
107; Patones;Hombre;Otros países de América;0
107; Patones;Hombre;Otros países de Europa;0
107; Patones;Hombre;Unión Europea;2
107; Patones;Mujer;África;0
107; Patones;Mujer;América Central y del Caribe;0
107; Patones;Mujer;América del Norte;0
107; Patones;Mujer;América del Sur;0
107; Patones;Mujer;Apátridas;0
107; Patones;Mujer;Asia;0
107; Patones;Mujer;No consta;0
107; Patones;Mujer;Oceanía;0
107; Patones;Mujer;Otros países de América;0
107; Patones;Mujer;Otros países de Europa;0
107; Patones;Mujer;Unión Europea;2
108; Pedrezuela;Hombre;África;1
108; Pedrezuela;Hombre;América Central y del Caribe;1
108; Pedrezuela;Hombre;América del Norte;0
108; Pedrezuela;Hombre;América del Sur;1
108; Pedrezuela;Hombre;Apátridas;0
108; Pedrezuela;Hombre;Asia;0
108; Pedrezuela;Hombre;No consta;0
108; Pedrezuela;Hombre;Oceanía;0
108; Pedrezuela;Hombre;Otros países de América;0
108; Pedrezuela;Hombre;Otros países de Europa;0
108; Pedrezuela;Hombre;Unión Europea;30
108; Pedrezuela;Mujer;África;2
108; Pedrezuela;Mujer;América Central y del Caribe;0
108; Pedrezuela;Mujer;América del Norte;0
108; Pedrezuela;Mujer;América del Sur;1
108; Pedrezuela;Mujer;Apátridas;0
108; Pedrezuela;Mujer;Asia;1
108; Pedrezuela;Mujer;No consta;0
108; Pedrezuela;Mujer;Oceanía;0
108; Pedrezuela;Mujer;Otros países de América;0
108; Pedrezuela;Mujer;Otros países de Europa;1
108; Pedrezuela;Mujer;Unión Europea;28
109; Pelayos de la Presa;Hombre;África;2
109; Pelayos de la Presa;Hombre;América Central y del Caribe;0
109; Pelayos de la Presa;Hombre;América del Norte;0
109; Pelayos de la Presa;Hombre;América del Sur;2
109; Pelayos de la Presa;Hombre;Apátridas;0
109; Pelayos de la Presa;Hombre;Asia;0
109; Pelayos de la Presa;Hombre;No consta;0
109; Pelayos de la Presa;Hombre;Oceanía;0
109; Pelayos de la Presa;Hombre;Otros países de América;0
109; Pelayos de la Presa;Hombre;Otros países de Europa;0
109; Pelayos de la Presa;Hombre;Unión Europea;6
109; Pelayos de la Presa;Mujer;África;1
109; Pelayos de la Presa;Mujer;América Central y del Caribe;0
109; Pelayos de la Presa;Mujer;América del Norte;0
109; Pelayos de la Presa;Mujer;América del Sur;0
109; Pelayos de la Presa;Mujer;Apátridas;0
109; Pelayos de la Presa;Mujer;Asia;0
109; Pelayos de la Presa;Mujer;No consta;0
109; Pelayos de la Presa;Mujer;Oceanía;0
109; Pelayos de la Presa;Mujer;Otros países de América;0
109; Pelayos de la Presa;Mujer;Otros países de Europa;0
109; Pelayos de la Presa;Mujer;Unión Europea;6
110; Perales de Tajuña;Hombre;África;3
110; Perales de Tajuña;Hombre;América Central y del Caribe;0
110; Perales de Tajuña;Hombre;América del Norte;0
110; Perales de Tajuña;Hombre;América del Sur;0
110; Perales de Tajuña;Hombre;Apátridas;0
110; Perales de Tajuña;Hombre;Asia;0
110; Perales de Tajuña;Hombre;No consta;0
110; Perales de Tajuña;Hombre;Oceanía;0
110; Perales de Tajuña;Hombre;Otros países de América;0
110; Perales de Tajuña;Hombre;Otros países de Europa;1
110; Perales de Tajuña;Hombre;Unión Europea;8
110; Perales de Tajuña;Mujer;África;0
110; Perales de Tajuña;Mujer;América Central y del Caribe;0
110; Perales de Tajuña;Mujer;América del Norte;0
110; Perales de Tajuña;Mujer;América del Sur;0
110; Perales de Tajuña;Mujer;Apátridas;0
110; Perales de Tajuña;Mujer;Asia;0
110; Perales de Tajuña;Mujer;No consta;0
110; Perales de Tajuña;Mujer;Oceanía;0
110; Perales de Tajuña;Mujer;Otros países de América;0
110; Perales de Tajuña;Mujer;Otros países de Europa;0
110; Perales de Tajuña;Mujer;Unión Europea;16
111; Pezuela de las Torres;Hombre;África;0
111; Pezuela de las Torres;Hombre;América Central y del Caribe;0
111; Pezuela de las Torres;Hombre;América del Norte;0
111; Pezuela de las Torres;Hombre;América del Sur;0
111; Pezuela de las Torres;Hombre;Apátridas;0
111; Pezuela de las Torres;Hombre;Asia;0
111; Pezuela de las Torres;Hombre;No consta;0
111; Pezuela de las Torres;Hombre;Oceanía;0
111; Pezuela de las Torres;Hombre;Otros países de América;0
111; Pezuela de las Torres;Hombre;Otros países de Europa;0
111; Pezuela de las Torres;Hombre;Unión Europea;6
111; Pezuela de las Torres;Mujer;África;0
111; Pezuela de las Torres;Mujer;América Central y del Caribe;0
111; Pezuela de las Torres;Mujer;América del Norte;0
111; Pezuela de las Torres;Mujer;América del Sur;0
111; Pezuela de las Torres;Mujer;Apátridas;0
111; Pezuela de las Torres;Mujer;Asia;0
111; Pezuela de las Torres;Mujer;No consta;0
111; Pezuela de las Torres;Mujer;Oceanía;0
111; Pezuela de las Torres;Mujer;Otros países de América;0
111; Pezuela de las Torres;Mujer;Otros países de Europa;0
111; Pezuela de las Torres;Mujer;Unión Europea;3
112; Pinilla del Valle;Hombre;África;0
112; Pinilla del Valle;Hombre;América Central y del Caribe;0
112; Pinilla del Valle;Hombre;América del Norte;0
112; Pinilla del Valle;Hombre;América del Sur;0
112; Pinilla del Valle;Hombre;Apátridas;0
112; Pinilla del Valle;Hombre;Asia;0
112; Pinilla del Valle;Hombre;No consta;0
112; Pinilla del Valle;Hombre;Oceanía;0
112; Pinilla del Valle;Hombre;Otros países de América;0
112; Pinilla del Valle;Hombre;Otros países de Europa;0
112; Pinilla del Valle;Hombre;Unión Europea;0
112; Pinilla del Valle;Mujer;África;0
112; Pinilla del Valle;Mujer;América Central y del Caribe;0
112; Pinilla del Valle;Mujer;América del Norte;0
112; Pinilla del Valle;Mujer;América del Sur;0
112; Pinilla del Valle;Mujer;Apátridas;0
112; Pinilla del Valle;Mujer;Asia;0
112; Pinilla del Valle;Mujer;No consta;0
112; Pinilla del Valle;Mujer;Oceanía;0
112; Pinilla del Valle;Mujer;Otros países de América;0
112; Pinilla del Valle;Mujer;Otros países de Europa;0
112; Pinilla del Valle;Mujer;Unión Europea;0
113; Pinto;Hombre;África;13
113; Pinto;Hombre;América Central y del Caribe;1
113; Pinto;Hombre;América del Norte;0
113; Pinto;Hombre;América del Sur;19
113; Pinto;Hombre;Apátridas;0
113; Pinto;Hombre;Asia;6
113; Pinto;Hombre;No consta;0
113; Pinto;Hombre;Oceanía;0
113; Pinto;Hombre;Otros países de América;0
113; Pinto;Hombre;Otros países de Europa;4
113; Pinto;Hombre;Unión Europea;299
113; Pinto;Mujer;África;10
113; Pinto;Mujer;América Central y del Caribe;2
113; Pinto;Mujer;América del Norte;0
113; Pinto;Mujer;América del Sur;13
113; Pinto;Mujer;Apátridas;0
113; Pinto;Mujer;Asia;2
113; Pinto;Mujer;No consta;0
113; Pinto;Mujer;Oceanía;0
113; Pinto;Mujer;Otros países de América;0
113; Pinto;Mujer;Otros países de Europa;0
113; Pinto;Mujer;Unión Europea;228
114; Piñuécar;Hombre;África;0
114; Piñuécar;Hombre;América Central y del Caribe;0
114; Piñuécar;Hombre;América del Norte;0
114; Piñuécar;Hombre;América del Sur;0
114; Piñuécar;Hombre;Apátridas;0
114; Piñuécar;Hombre;Asia;0
114; Piñuécar;Hombre;No consta;0
114; Piñuécar;Hombre;Oceanía;0
114; Piñuécar;Hombre;Otros países de América;0
114; Piñuécar;Hombre;Otros países de Europa;0
114; Piñuécar;Hombre;Unión Europea;0
114; Piñuécar;Mujer;África;0
114; Piñuécar;Mujer;América Central y del Caribe;0
114; Piñuécar;Mujer;América del Norte;0
114; Piñuécar;Mujer;América del Sur;0
114; Piñuécar;Mujer;Apátridas;0
114; Piñuécar;Mujer;Asia;0
114; Piñuécar;Mujer;No consta;0
114; Piñuécar;Mujer;Oceanía;0
114; Piñuécar;Mujer;Otros países de América;0
114; Piñuécar;Mujer;Otros países de Europa;0
114; Piñuécar;Mujer;Unión Europea;0
115; Pozuelo de Alarcón;Hombre;África;10
115; Pozuelo de Alarcón;Hombre;América Central y del Caribe;3
115; Pozuelo de Alarcón;Hombre;América del Norte;4
115; Pozuelo de Alarcón;Hombre;América del Sur;10
115; Pozuelo de Alarcón;Hombre;Apátridas;0
115; Pozuelo de Alarcón;Hombre;Asia;4
115; Pozuelo de Alarcón;Hombre;No consta;0
115; Pozuelo de Alarcón;Hombre;Oceanía;1
115; Pozuelo de Alarcón;Hombre;Otros países de América;0
115; Pozuelo de Alarcón;Hombre;Otros países de Europa;2
115; Pozuelo de Alarcón;Hombre;Unión Europea;322
115; Pozuelo de Alarcón;Mujer;África;10
115; Pozuelo de Alarcón;Mujer;América Central y del Caribe;3
115; Pozuelo de Alarcón;Mujer;América del Norte;5
115; Pozuelo de Alarcón;Mujer;América del Sur;12
115; Pozuelo de Alarcón;Mujer;Apátridas;0
115; Pozuelo de Alarcón;Mujer;Asia;4
115; Pozuelo de Alarcón;Mujer;No consta;0
115; Pozuelo de Alarcón;Mujer;Oceanía;0
115; Pozuelo de Alarcón;Mujer;Otros países de América;0
115; Pozuelo de Alarcón;Mujer;Otros países de Europa;1
115; Pozuelo de Alarcón;Mujer;Unión Europea;309
116; Pozuelo del Rey;Hombre;África;0
116; Pozuelo del Rey;Hombre;América Central y del Caribe;0
116; Pozuelo del Rey;Hombre;América del Norte;0
116; Pozuelo del Rey;Hombre;América del Sur;0
116; Pozuelo del Rey;Hombre;Apátridas;0
116; Pozuelo del Rey;Hombre;Asia;0
116; Pozuelo del Rey;Hombre;No consta;0
116; Pozuelo del Rey;Hombre;Oceanía;0
116; Pozuelo del Rey;Hombre;Otros países de América;0
116; Pozuelo del Rey;Hombre;Otros países de Europa;0
116; Pozuelo del Rey;Hombre;Unión Europea;2
116; Pozuelo del Rey;Mujer;África;0
116; Pozuelo del Rey;Mujer;América Central y del Caribe;0
116; Pozuelo del Rey;Mujer;América del Norte;0
116; Pozuelo del Rey;Mujer;América del Sur;0
116; Pozuelo del Rey;Mujer;Apátridas;0
116; Pozuelo del Rey;Mujer;Asia;0
116; Pozuelo del Rey;Mujer;No consta;0
116; Pozuelo del Rey;Mujer;Oceanía;0
116; Pozuelo del Rey;Mujer;Otros países de América;0
116; Pozuelo del Rey;Mujer;Otros países de Europa;0
116; Pozuelo del Rey;Mujer;Unión Europea;5
117; Prádena del Rincón;Hombre;África;0
117; Prádena del Rincón;Hombre;América Central y del Caribe;0
117; Prádena del Rincón;Hombre;América del Norte;0
117; Prádena del Rincón;Hombre;América del Sur;0
117; Prádena del Rincón;Hombre;Apátridas;0
117; Prádena del Rincón;Hombre;Asia;0
117; Prádena del Rincón;Hombre;No consta;0
117; Prádena del Rincón;Hombre;Oceanía;0
117; Prádena del Rincón;Hombre;Otros países de América;0
117; Prádena del Rincón;Hombre;Otros países de Europa;0
117; Prádena del Rincón;Hombre;Unión Europea;0
117; Prádena del Rincón;Mujer;África;0
117; Prádena del Rincón;Mujer;América Central y del Caribe;0
117; Prádena del Rincón;Mujer;América del Norte;0
117; Prádena del Rincón;Mujer;América del Sur;0
117; Prádena del Rincón;Mujer;Apátridas;0
117; Prádena del Rincón;Mujer;Asia;0
117; Prádena del Rincón;Mujer;No consta;0
117; Prádena del Rincón;Mujer;Oceanía;0
117; Prádena del Rincón;Mujer;Otros países de América;0
117; Prádena del Rincón;Mujer;Otros países de Europa;0
117; Prádena del Rincón;Mujer;Unión Europea;0
118; Puebla de la Sierra;Hombre;África;0
118; Puebla de la Sierra;Hombre;América Central y del Caribe;0
118; Puebla de la Sierra;Hombre;América del Norte;0
118; Puebla de la Sierra;Hombre;América del Sur;0
118; Puebla de la Sierra;Hombre;Apátridas;0
118; Puebla de la Sierra;Hombre;Asia;0
118; Puebla de la Sierra;Hombre;No consta;0
118; Puebla de la Sierra;Hombre;Oceanía;0
118; Puebla de la Sierra;Hombre;Otros países de América;0
118; Puebla de la Sierra;Hombre;Otros países de Europa;0
118; Puebla de la Sierra;Hombre;Unión Europea;0
118; Puebla de la Sierra;Mujer;África;0
118; Puebla de la Sierra;Mujer;América Central y del Caribe;0
118; Puebla de la Sierra;Mujer;América del Norte;0
118; Puebla de la Sierra;Mujer;América del Sur;0
118; Puebla de la Sierra;Mujer;Apátridas;0
118; Puebla de la Sierra;Mujer;Asia;0
118; Puebla de la Sierra;Mujer;No consta;0
118; Puebla de la Sierra;Mujer;Oceanía;0
118; Puebla de la Sierra;Mujer;Otros países de América;0
118; Puebla de la Sierra;Mujer;Otros países de Europa;0
118; Puebla de la Sierra;Mujer;Unión Europea;0
902; Puentes Viejas;Hombre;África;0
902; Puentes Viejas;Hombre;América Central y del Caribe;0
902; Puentes Viejas;Hombre;América del Norte;0
902; Puentes Viejas;Hombre;América del Sur;0
902; Puentes Viejas;Hombre;Apátridas;0
902; Puentes Viejas;Hombre;Asia;0
902; Puentes Viejas;Hombre;No consta;0
902; Puentes Viejas;Hombre;Oceanía;0
902; Puentes Viejas;Hombre;Otros países de América;0
902; Puentes Viejas;Hombre;Otros países de Europa;0
902; Puentes Viejas;Hombre;Unión Europea;1
902; Puentes Viejas;Mujer;África;0
902; Puentes Viejas;Mujer;América Central y del Caribe;0
902; Puentes Viejas;Mujer;América del Norte;0
902; Puentes Viejas;Mujer;América del Sur;0
902; Puentes Viejas;Mujer;Apátridas;0
902; Puentes Viejas;Mujer;Asia;0
902; Puentes Viejas;Mujer;No consta;0
902; Puentes Viejas;Mujer;Oceanía;0
902; Puentes Viejas;Mujer;Otros países de América;0
902; Puentes Viejas;Mujer;Otros países de Europa;0
902; Puentes Viejas;Mujer;Unión Europea;1
119; Quijorna;Hombre;África;0
119; Quijorna;Hombre;América Central y del Caribe;0
119; Quijorna;Hombre;América del Norte;0
119; Quijorna;Hombre;América del Sur;0
119; Quijorna;Hombre;Apátridas;0
119; Quijorna;Hombre;Asia;0
119; Quijorna;Hombre;No consta;0
119; Quijorna;Hombre;Oceanía;0
119; Quijorna;Hombre;Otros países de América;0
119; Quijorna;Hombre;Otros países de Europa;0
119; Quijorna;Hombre;Unión Europea;11
119; Quijorna;Mujer;África;0
119; Quijorna;Mujer;América Central y del Caribe;0
119; Quijorna;Mujer;América del Norte;0
119; Quijorna;Mujer;América del Sur;1
119; Quijorna;Mujer;Apátridas;0
119; Quijorna;Mujer;Asia;1
119; Quijorna;Mujer;No consta;0
119; Quijorna;Mujer;Oceanía;0
119; Quijorna;Mujer;Otros países de América;0
119; Quijorna;Mujer;Otros países de Europa;0
119; Quijorna;Mujer;Unión Europea;10
120; Rascafría;Hombre;África;0
120; Rascafría;Hombre;América Central y del Caribe;0
120; Rascafría;Hombre;América del Norte;0
120; Rascafría;Hombre;América del Sur;1
120; Rascafría;Hombre;Apátridas;0
120; Rascafría;Hombre;Asia;0
120; Rascafría;Hombre;No consta;0
120; Rascafría;Hombre;Oceanía;0
120; Rascafría;Hombre;Otros países de América;0
120; Rascafría;Hombre;Otros países de Europa;0
120; Rascafría;Hombre;Unión Europea;5
120; Rascafría;Mujer;África;0
120; Rascafría;Mujer;América Central y del Caribe;0
120; Rascafría;Mujer;América del Norte;0
120; Rascafría;Mujer;América del Sur;0
120; Rascafría;Mujer;Apátridas;0
120; Rascafría;Mujer;Asia;0
120; Rascafría;Mujer;No consta;0
120; Rascafría;Mujer;Oceanía;0
120; Rascafría;Mujer;Otros países de América;0
120; Rascafría;Mujer;Otros países de Europa;0
120; Rascafría;Mujer;Unión Europea;2
121; Redueña;Hombre;África;0
121; Redueña;Hombre;América Central y del Caribe;0
121; Redueña;Hombre;América del Norte;0
121; Redueña;Hombre;América del Sur;0
121; Redueña;Hombre;Apátridas;0
121; Redueña;Hombre;Asia;0
121; Redueña;Hombre;No consta;0
121; Redueña;Hombre;Oceanía;0
121; Redueña;Hombre;Otros países de América;0
121; Redueña;Hombre;Otros países de Europa;0
121; Redueña;Hombre;Unión Europea;1
121; Redueña;Mujer;África;0
121; Redueña;Mujer;América Central y del Caribe;0
121; Redueña;Mujer;América del Norte;0
121; Redueña;Mujer;América del Sur;0
121; Redueña;Mujer;Apátridas;0
121; Redueña;Mujer;Asia;0
121; Redueña;Mujer;No consta;0
121; Redueña;Mujer;Oceanía;0
121; Redueña;Mujer;Otros países de América;0
121; Redueña;Mujer;Otros países de Europa;0
121; Redueña;Mujer;Unión Europea;0
122; Ribatejada;Hombre;África;0
122; Ribatejada;Hombre;América Central y del Caribe;0
122; Ribatejada;Hombre;América del Norte;0
